,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen
0, ,흥덕지구점, ,031-212-9293, , ,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호", , ,온라인, ,e-쿠폰, , ,카드할인, , 
1, ,후곡점, ,031-913-9289, , ,경기도 고양시 일산서구  일산로 576, , ,온라인, ,e-쿠폰, , ,카드할인, , 
2, ,효자중화산1호점, ,063-232-8294, , ,전라북도 전주시완산구  안행로 154, , ,온라인, ,e-쿠폰, , ,카드할인, , 
3, ,회덕점, ,031-797-9293, , ,경기도 광주시  이배재로 108, , ,온라인, ,e-쿠폰, , ,카드할인, , 
4, ,황상인의점, ,054-473-9482, , ,경상북도 구미시  여현로 80, , ,온라인, ,e-쿠폰, , ,카드할인, , 
5, ,화천점, ,033-442-9994, , ,강원도 화천군 화천읍 중앙로 37번지, , ,온라인, ,e-쿠폰, , ,카드할인, , 
6, ,화양점, ,02-461-9993, , ,"서울특별시 광진구   능동로19길 53, 1층", , ,온라인, ,e-쿠폰, , ,카드할인, , 
7, ,화성반월점, ,031-222-9294, , ,"경기도 화성시  효행로1265번길 17, 101호", , ,온라인, ,e-쿠폰, , ,카드할인, , 
8, ,화성마도점, ,031-356-5708, , ,경기도 화성시 마도면 두곡서길 35 1층, , ,온라인, ,e-쿠폰, , ,카드할인, , 
9, ,화성남양점, ,031-356-9207, , ,경기도 화성시 남양동 남양도시개발구역 2-1블럭 화성남양상가 103, , ,온라인, ,e-쿠폰, , ,카드할인, , 
